id,date,brand,serie,model,year,fuel,transmission,km,type,hp,cc,traction,color,guarantee,Nation,from_whome,change,status,price,city,county,neighborhood
775864151,04 ocak 2020,ford,focus,1.5 tdci trend x,2017,dizel,yarı otomatik,35.584,sedan,120,1499,önden çekiş,beyaz,evet,türkiye (tr) plakalı,galeriden,evet,i̇kinci el,124.750,İstanbul,Pendik,Kaynarca Mah.
775333235,03 ocak 2020,ford,focus,1.6 tdci trend x,2015,dizel,manuel,150.000,sedan,95,1560,önden çekiş,beyaz,evet,türkiye (tr) plakalı,galeriden,evet,i̇kinci el,99.800,Samsun,Bafra,Fevzi Çakmak Mh.
775107514,02 ocak 2020,ford,focus,1.6 ti-vct trend x,2015,benzin,yarı otomatik,67.044,sedan,125,1596,önden çekiş,beyaz,evet,türkiye (tr) plakalı,galeriden,evet,i̇kinci el,96.900,İstanbul,Çekmeköy,Merkez Mah.
775087410,02 ocak 2020,ford,focus,1.5 tdci style,2016,dizel,yarı otomatik,104.000,sedan,120,1499,önden çekiş,beyaz,hayır,türkiye (tr) plakalı,galeriden,evet,i̇kinci el,122.000,Konya,Karatay,Fevziçakmak Mh.
762495588,29 aralık 2019,ford,focus,1.6 tdci trend,2006,dizel,yarı otomatik,243.000,sedan,110,1560,önden çekiş,gümüş gri,hayır,türkiye (tr) plakalı,galeriden,hayır,i̇kinci el,49.990,Antalya,Kepez,Gülveren Mh.
752982282,28 ocak 2020,ford,focus,1.6 ghia,2001,benzin & lpg,manuel,205.000,hatchback 5 kapı,100,1596,önden çekiş,yeşil,evet,türkiye (tr) plakalı,sahibinden,hayır,i̇kinci el,48.500,Ankara,Yenimahalle,Emniyet Mah.
784947775,28 ocak 2020,ford,focus,1.6 titanium x,2010,benzin & lpg,manuel,118.200,hatchback 5 kapı,113,1450,önden çekiş,gri,hayır,türkiye (tr) plakalı,sahibinden,hayır,i̇kinci el,86.750,Ankara,Keçiören,Yakacık Mh.
773743087,28 ocak 2020,ford,focus,1.5 tdci trend x,2016,dizel,yarı otomatik,125.000,sedan,113,1450,önden çekiş,beyaz,hayır,türkiye (tr) plakalı,galeriden,evet,i̇kinci el,111.500,Eskişehir,Odunpazarı,Sultandere 75. Yıl Mh.
784983697,28 ocak 2020,ford,focus,1.6 collection,2008,benzin & lpg,manuel,90.000,sedan,100,1596,önden çekiş,gümüş gri,hayır,türkiye (tr) plakalı,sahibinden,hayır,i̇kinci el,77.500,Ankara,Mamak,Harman Mah.
784972011,28 ocak 2020,ford,focus,1.6 tdci trend x,2013,dizel,manuel,187.000,sedan,95,1560,önden çekiş,beyaz,hayır,türkiye (tr) plakalı,sahibinden,hayır,i̇kinci el,82.250,Ankara,Yenimahalle,Pamuklar Mah.
784972011,28 ocak 2020,ford,focus,1.6 tdci trend x,2013,dizel,manuel,187.000,sedan,95,1560,önden çekiş,beyaz,hayır,türkiye (tr) plakalı,sahibinden,hayır,i̇kinci el,82.250,Ankara,Yenimahalle,Pamuklar Mah.
784946559,28 ocak 2020,ford,focus,1.6 tdci trend x,2011,dizel,manuel,234.000,sedan,110,1560,önden çekiş,gri,hayır,türkiye (tr) plakalı,sahibinden,evet,i̇kinci el,62.000,İstanbul,Küçükçekmece,Halkalı Merkez Mh.
784988018,28 ocak 2020,ford,focus,1.6 ambiente,2000,benzin & lpg,manuel,270.000,sedan,100,1596,önden çekiş,bordo,hayır,türkiye (tr) plakalı,galeriden,evet,i̇kinci el,34.000,Ankara,Keçiören,Etlik Mah.
784944954,28 ocak 2020,ford,focus,1.6 ambiente,2002,benzin & lpg,otomatik,200.000,hatchback 5 kapı,100,1596,önden çekiş,gümüş gri,hayır,türkiye (tr) plakalı,sahibinden,hayır,i̇kinci el,35.000,Afyonkarahisar,Dazkırı,Yeniyol Mah.
784938786,28 ocak 2020,ford,focus,1.6 ti-vct style,2015,benzin & lpg,manuel,54.500,sedan,125,1596,önden çekiş,beyaz,hayır,türkiye (tr) plakalı,sahibinden,evet,i̇kinci el,110.000,Ankara,Etimesgut,Topçu Mh.
784942850,28 ocak 2020,ford,focus,1.6 tdci trend,2007,dizel,yarı otomatik,238.000,sedan,110,1560,önden çekiş,beyaz,hayır,türkiye (tr) plakalı,sahibinden,evet,i̇kinci el,51.500,Ankara,Keçiören,Uyanış Mh.
766747077,28 ocak 2020,ford,focus,1.6 titanium,2011,benzin,manuel,158.000,hatchback 5 kapı,100,1596,önden çekiş,beyaz,hayır,türkiye (tr) plakalı,sahibinden,hayır,i̇kinci el,72.500,Adana,Sarıçam,Şahintepe Mh.
784933033,28 ocak 2020,ford,focus,1.6 tdci trend,2007,dizel,manuel,280.000,sedan,110,1560,önden çekiş,beyaz,hayır,türkiye (tr) plakalı,sahibinden,evet,i̇kinci el,47.750,Kırşehir,Merkez,Ahievran Mah.
784930887,28 ocak 2020,ford,focus,1.6 comfort,2011,benzin & lpg,manuel,127.000,hatchback 5 kapı,100,1596,önden çekiş,gri,hayır,türkiye (tr) plakalı,sahibinden,hayır,i̇kinci el,69.500,Malatya,Yeşilyurt,Turgut Özal Mh.
784938114,28 ocak 2020,ford,focus,1.6 ti-vct titanium,2014,benzin & lpg,manuel,81.000,sedan,125,1596,önden çekiş,beyaz,hayır,türkiye (tr) plakalı,sahibinden,hayır,i̇kinci el,106.500,Adana,Seyhan,Yenibaraj Mah.
784946935,28 ocak 2020,ford,focus,1.6 tdci titanium,2009,dizel,manuel,178.000,sedan,110,1560,önden çekiş,siyah,hayır,türkiye (tr) plakalı,sahibinden,hayır,i̇kinci el,58.900,İstanbul,Üsküdar,Bulgurlu Mah.
784937438,28 ocak 2020,ford,focus,1.6 trend,2006,benzin & lpg,manuel,187.000,hatchback 5 kapı,100,1596,önden çekiş,gümüş gri,hayır,türkiye (tr) plakalı,sahibinden,hayır,i̇kinci el,49.000,Ankara,Sincan,Andiçen Mh.
784935965,28 ocak 2020,ford,focus,1.6 ambiente,2001,benzin & lpg,manuel,142.000,sedan,100,1596,önden çekiş,mavi,evet,türkiye (tr) plakalı,sahibinden,hayır,i̇kinci el,39.500,Ankara,Keçiören,Şehit Kubilay Mh.
762633454,28 ocak 2020,ford,focus,1.6 comfort,2005,benzin & lpg,manuel,240.000,sedan,100,1596,önden çekiş,beyaz,hayır,türkiye (tr) plakalı,galeriden,hayır,i̇kinci el,40.000,Elazığ,Merkez,Üniversite Mh.
784867499,28 ocak 2020,ford,focus,1.6 tdci ghia,2006,dizel,yarı otomatik,178.000,sedan,110,1560,önden çekiş,gri,hayır,türkiye (tr) plakalı,sahibinden,hayır,i̇kinci el,47.500,İstanbul,Beyoğlu,Halıcıoğlu Mh.
